timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296693.029846,c2s,10.0.2.15,48308,173.194.68.102,443,183,0.0
1413296693.050796,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.000389812889813
1413296693.052017,s2c,173.194.68.102,443,10.0.2.15,48308,1062,0.00648197062131
1413296693.061595,c2s,10.0.2.15,48308,173.194.68.102,443,162,0.00874416345728
1413296693.062559,c2s,10.0.2.15,48308,173.194.68.102,443,65,0.00908924372039
1413296693.062904,c2s,10.0.2.15,48308,173.194.68.102,443,1460,0.00922770185065
1413296693.063098,c2s,10.0.2.15,48308,173.194.68.102,443,266,0.0123376844688
1413296693.083284,s2c,173.194.68.102,443,10.0.2.15,48308,303,0.0129042977404
1413296693.084683,s2c,173.194.68.102,443,10.0.2.15,48308,45,0.0135497256399
1413296693.258683,s2c,173.194.68.102,443,10.0.2.15,48308,218,0.0136455812685
1413296693.259690,s2c,173.194.68.102,443,10.0.2.15,48308,4191,0.0141099485362
1413296693.265726,s2c,173.194.68.102,443,10.0.2.15,48308,8382,0.0230373027504
1413296693.267096,s2c,173.194.68.102,443,10.0.2.15,48308,9940,0.0408920111789
1413296693.267595,s2c,173.194.68.102,443,10.0.2.15,48308,11360,0.0620654544835
1413296693.268167,s2c,173.194.68.102,443,10.0.2.15,48308,8227,0.086263675403
1413296693.279274,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.103788214444
1413296693.281494,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.109880372175
1413296693.281964,s2c,173.194.68.102,443,10.0.2.15,48308,5680,0.12815684537
1413296693.282410,s2c,173.194.68.102,443,10.0.2.15,48308,2900,0.14025595583
1413296693.282858,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.146433318564
1413296693.284237,s2c,173.194.68.102,443,10.0.2.15,48308,4290,0.158617634027
1413296693.285096,s2c,173.194.68.102,443,10.0.2.15,48308,7150,0.167755870625
1413296693.285723,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.182986264953
1413296693.286316,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.195170580416
1413296693.286890,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.207354895879
1413296693.288079,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.219539211342
1413296693.288517,s2c,173.194.68.102,443,10.0.2.15,48308,1430,0.225631369074
1413296693.289092,s2c,173.194.68.102,443,10.0.2.15,48308,4046,0.22867744794
1413296693.289353,c2s,10.0.2.15,48308,173.194.68.102,443,61,0.237295934017
1413296693.289472,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.237425871647
1413296693.298453,s2c,173.194.68.102,443,10.0.2.15,48308,244,0.243518029379
1413296693.299514,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.244037779898
1413296693.300284,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.25012993763
1413296693.301152,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.256222095361
1413296693.301557,s2c,173.194.68.102,443,10.0.2.15,48308,1430,0.268406410824
1413296693.302473,s2c,173.194.68.102,443,10.0.2.15,48308,4290,0.27145248969
1413296693.302565,s2c,173.194.68.102,443,10.0.2.15,48308,4260,0.280590726287
1413296693.302715,s2c,173.194.68.102,443,10.0.2.15,48308,1460,0.289665059132
1413296693.303288,c2s,10.0.2.15,48308,173.194.68.102,443,61,0.29277504175
1413296693.303862,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.29290497938
1413296693.304624,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.305089294843
1413296693.305431,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.317273610306
1413296693.306360,s2c,173.194.68.102,443,10.0.2.15,48308,1430,0.329457925769
1413296693.307008,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.332504004635
1413296693.308091,s2c,173.194.68.102,443,10.0.2.15,48308,4046,0.35078047783
1413296693.308142,s2c,173.194.68.102,443,10.0.2.15,48308,1430,0.359398963907
1413296693.308970,s2c,173.194.68.102,443,10.0.2.15,48308,1674,0.362445042773
1413296693.309423,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.366010872158
1413296693.320108,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.378195187621
1413296693.320861,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.384287345353
1413296693.321852,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.390379503084
1413296693.322897,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.408655976279
1413296693.323863,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.426932449473
1413296693.324516,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.439116764936
1413296693.325004,c2s,10.0.2.15,48308,173.194.68.102,443,61,0.457393238131
1413296693.325908,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.457523175761
1413296693.326209,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.475799648955
1413296693.326576,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.487983964418
1413296693.327403,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.506260437613
1413296693.328029,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.518444753076
1413296693.328993,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.53672122627
1413296693.331413,s2c,173.194.68.102,443,10.0.2.15,48308,34320,0.554997699465
1413296693.331907,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.628103592243
1413296693.332385,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.646380065437
1413296693.333260,s2c,173.194.68.102,443,10.0.2.15,48308,10010,0.664656538632
1413296693.333684,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.685979090692
1413296693.333789,c2s,10.0.2.15,48308,173.194.68.102,443,61,0.704255563887
1413296693.333886,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.704385501517
1413296693.334644,s2c,173.194.68.102,443,10.0.2.15,48308,1430,0.71656981698
1413296693.340585,s2c,173.194.68.102,443,10.0.2.15,48308,2860,0.719615895845
1413296693.341388,s2c,173.194.68.102,443,10.0.2.15,48308,5720,0.725708053577
1413296693.342135,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.73789236904
1413296693.342787,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.756168842234
1413296693.343944,s2c,173.194.68.102,443,10.0.2.15,48308,8580,0.774445315429
1413296693.345109,s2c,173.194.68.102,443,10.0.2.15,48308,4260,0.792721788623
1413296693.346681,s2c,173.194.68.102,443,10.0.2.15,48308,4320,0.801796121468
1413296693.347424,s2c,173.194.68.102,443,10.0.2.15,48308,7100,0.810998261818
1413296693.347623,s2c,173.194.68.102,443,10.0.2.15,48308,4340,0.826122149893
1413296693.348184,s2c,173.194.68.102,443,10.0.2.15,48308,5680,0.835366892744
1413296693.348331,s2c,173.194.68.102,443,10.0.2.15,48308,17040,0.847466003204
1413296693.348467,s2c,173.194.68.102,443,10.0.2.15,48308,4260,0.883763334583
1413296693.348543,s2c,173.194.68.102,443,10.0.2.15,48308,8520,0.892837667428
1413296693.348652,s2c,173.194.68.102,443,10.0.2.15,48308,12780,0.910986333117
1413296693.348765,s2c,173.194.68.102,443,10.0.2.15,48308,12780,0.938209331652
1413296693.349374,s2c,173.194.68.102,443,10.0.2.15,48308,4260,0.965432330186
1413296693.349447,s2c,173.194.68.102,443,10.0.2.15,48308,4750,0.974506663031
1413296693.350062,s2c,173.194.68.102,443,10.0.2.15,48308,6876,0.984624757166
1413296693.350658,c2s,10.0.2.15,48308,173.194.68.102,443,61,0.999271497222
1413296693.358880,c2s,10.0.2.15,48308,173.194.68.102,443,41,0.999401434852
1413296752.017334,c2s,10.0.2.15,48308,173.194.68.102,443,41,0.999488769981
1413296752.038303,s2c,173.194.68.102,443,10.0.2.15,48308,41,0.999576105109
1413296810.335510,c2s,10.0.2.15,48308,173.194.68.102,443,41,0.999663440237
1413296810.357696,s2c,173.194.68.102,443,10.0.2.15,48308,41,0.999750775366
1413296866.136879,c2s,10.0.2.15,48308,173.194.68.102,443,45,0.999838110494
1413296866.138118,c2s,10.0.2.15,48308,173.194.68.102,443,31,0.999933966122
